,Unnamed: 0,sid,gcm,total,calm,percent
0,0,PADK,ERA,1534080,49145,3.2
1,1,PADK,CCSM4,3723000,119685,3.2
2,2,PADK,CM3,3723000,119090,3.2
3,3,PANC,ERA,1534080,191035,12.5
4,4,PANC,CCSM4,3723000,30,0.0
5,5,PANC,CM3,3723000,458275,12.3
6,6,PAMR,ERA,1534080,559355,36.5
7,7,PAMR,CCSM4,3723000,86785,2.3
8,8,PAMR,CM3,3723000,1342960,36.1
9,9,PANI,ERA,1534080,297310,19.4
10,10,PANI,CCSM4,3723000,21270,0.6
11,11,PANI,CM3,3723000,354880,9.5
12,12,PANT,ERA,1534080,283195,18.5
13,13,PANT,CCSM4,3723000,660795,17.7
14,14,PANT,CM3,3723000,691755,18.6
15,15,PABE,ERA,1534080,32195,2.1
16,16,PABE,CCSM4,3723000,44345,1.2
17,17,PABE,CM3,3723000,78855,2.1
18,18,PABT,ERA,1534080,395390,25.8
19,19,PABT,CCSM4,3723000,3300,0.1
20,20,PABT,CM3,3723000,12785,0.3
21,21,PALU,ERA,1534080,141990,9.3
22,22,PALU,CCSM4,3723000,275,0.0
23,23,PALU,CM3,3723000,326430,8.8
24,24,PAEH,ERA,1534080,190560,12.4
25,25,PAEH,CCSM4,3723000,439690,11.8
26,26,PAEH,CM3,3723000,471070,12.7
27,27,PACZ,ERA,1534080,113520,7.4
28,28,PACZ,CCSM4,3723000,385,0.0
29,29,PACZ,CM3,3723000,275070,7.4
30,30,PACD,ERA,1534080,39760,2.6
31,31,PACD,CCSM4,3723000,36125,1.0
32,32,PACD,CM3,3723000,97275,2.6
33,33,PACV,ERA,1534080,583680,38.0
34,34,PACV,CCSM4,3723000,1426120,38.3
35,35,PACV,CM3,3723000,1439725,38.7
36,36,PASC,ERA,1534080,55780,3.6
37,37,PASC,CCSM4,3723000,1880,0.1
38,38,PASC,CM3,3723000,5,0.0
39,39,PADL,ERA,1534080,116295,7.6
40,40,PADL,CCSM4,3723000,235335,6.3
41,41,PADL,CM3,3723000,4915,0.1
42,42,PADU,ERA,1534080,109630,7.1
43,43,PADU,CCSM4,3723000,269120,7.2
44,44,PADU,CM3,3723000,268235,7.2
45,45,PAEI,ERA,1534080,722930,47.1
46,46,PAEI,CCSM4,3723000,10600,0.3
47,47,PAEI,CM3,3723000,4055,0.1
48,48,PAEL,ERA,1534080,587960,38.3
49,49,PAEL,CCSM4,3723000,546580,14.7
50,50,PAEL,CM3,3723000,1416485,38.0
51,51,PAED,ERA,1534080,459180,29.9
52,52,PAED,CCSM4,3723000,85055,2.3
53,53,PAED,CM3,3723000,1108475,29.8
54,54,PAFA,ERA,1534080,633505,41.3
55,55,PAFA,CCSM4,3723000,5525,0.1
56,56,PAFA,CM3,3723000,1480,0.0
57,57,PABI,ERA,1534080,166230,10.8
58,58,PABI,CCSM4,3723000,44200,1.2
59,59,PABI,CM3,3723000,70355,1.9
60,60,PAFB,ERA,1534080,536635,35.0
61,61,PAFB,CCSM4,3723000,15,0.0
62,62,PAFB,CM3,3723000,17905,0.5
63,63,PFYU,ERA,1534080,361520,23.6
64,64,PFYU,CCSM4,3723000,40,0.0
65,65,PFYU,CM3,3723000,19240,0.5
66,66,PAGA,ERA,1534080,430225,28.0
67,67,PAGA,CCSM4,3723000,1055,0.0
68,68,PAGA,CM3,3723000,72450,1.9
69,69,PAGK,ERA,1534080,409140,26.7
70,70,PAGK,CCSM4,3723000,4965,0.1
71,71,PAGK,CM3,3723000,10,0.0
72,72,PAGS,ERA,1534080,360310,23.5
73,73,PAGS,CCSM4,3723000,515,0.0
74,74,PAGS,CM3,3723000,883195,23.7
75,75,PAHO,ERA,1534080,342200,22.3
76,76,PAHO,CCSM4,3723000,811270,21.8
77,77,PAHO,CM3,3723000,818800,22.0
78,78,PAIL,ERA,1534080,91555,6.0
79,79,PAIL,CCSM4,3723000,8180,0.2
80,80,PAIL,CM3,3723000,217030,5.8
81,81,PAIM,ERA,1534080,524365,34.2
82,82,PAIM,CCSM4,3723000,3695,0.1
83,83,PAIM,CM3,3723000,1250230,33.6
84,84,PAJN,ERA,1534080,372575,24.3
85,85,PAJN,CCSM4,3723000,904020,24.3
86,86,PAJN,CM3,3723000,911120,24.5
87,87,PABA,ERA,1534080,41945,2.7
88,88,PABA,CCSM4,3723000,10935,0.3
89,89,PABA,CM3,3723000,425,0.0
90,90,PAEN,ERA,1534080,255590,16.7
91,91,PAEN,CCSM4,3723000,600920,16.1
92,92,PAEN,CM3,3723000,7485,0.2
93,93,PAKT,ERA,1534080,226005,14.7
94,94,PAKT,CCSM4,3723000,538140,14.5
95,95,PAKT,CM3,3723000,553985,14.9
96,96,PAKN,ERA,1534080,98090,6.4
97,97,PAKN,CCSM4,3723000,7720,0.2
98,98,PAKN,CM3,3723000,229205,6.2
99,99,PADQ,ERA,1534080,93205,6.1
100,100,PADQ,CCSM4,3723000,214140,5.8
101,101,PADQ,CM3,3723000,223805,6.0
102,102,PAOT,ERA,1534080,125725,8.2
103,103,PAOT,CCSM4,3723000,5440,0.1
104,104,PAOT,CM3,3723000,302720,8.1
105,105,PAMX,ERA,1534080,804050,52.4
106,106,PAMX,CCSM4,3723000,1742930,46.8
107,107,PAMX,CM3,3723000,1946475,52.3
108,108,PAMC,ERA,1534080,615715,40.1
109,109,PAMC,CCSM4,3723000,410,0.0
110,110,PAMC,CM3,3723000,250,0.0
111,111,PAMD,ERA,1534080,18825,1.2
112,112,PAMD,CCSM4,3723000,510,0.0
113,113,PAMD,CM3,3723000,44690,1.2
114,114,PAMH,ERA,1534080,820160,53.5
115,115,PAMH,CCSM4,3723000,0,0.0
116,116,PAMH,CM3,3723000,4265,0.1
117,117,PANN,ERA,1534080,306840,20.0
118,118,PANN,CCSM4,3723000,2875,0.1
119,119,PANN,CM3,3723000,183125,4.9
120,120,PAOM,ERA,1534080,180620,11.8
121,121,PAOM,CCSM4,3723000,15190,0.4
122,122,PAOM,CM3,3723000,430210,11.6
123,123,PAOR,ERA,1534080,645090,42.1
124,124,PAOR,CCSM4,3723000,1318225,35.4
125,125,PAOR,CM3,3723000,65120,1.7
126,126,PAAQ,ERA,1534080,377910,24.6
127,127,PAAQ,CCSM4,3723000,904385,24.3
128,128,PAAQ,CM3,3723000,914890,24.6
129,129,PAPG,ERA,1534080,347060,22.6
130,130,PAPG,CCSM4,3723000,840270,22.6
131,131,PAPG,CM3,3723000,711020,19.1
132,132,PAPH,ERA,1534080,18795,1.2
133,133,PAPH,CCSM4,3723000,21150,0.6
134,134,PAPH,CM3,3723000,44975,1.2
135,135,PAPR,ERA,1534080,456595,29.8
136,136,PAPR,CCSM4,3723000,9360,0.3
137,137,PAPR,CM3,3723000,6190,0.2
138,138,PARY,ERA,1534080,225470,14.7
139,139,PARY,CCSM4,3723000,2745,0.1
140,140,PARY,CM3,3723000,539965,14.5
141,141,PASM,ERA,1534080,55780,3.6
142,142,PASM,CCSM4,3723000,3805,0.1
143,143,PASM,CM3,3723000,139520,3.7
144,144,PASN,ERA,1534080,34310,2.2
145,145,PASN,CCSM4,3723000,83070,2.2
146,146,PASN,CM3,3723000,84010,2.3
147,147,PASD,ERA,1534080,93115,6.1
148,148,PASD,CCSM4,3723000,228685,6.1
149,149,PASD,CM3,3723000,228505,6.1
150,150,PAWD,ERA,1534080,312640,20.4
151,151,PAWD,CCSM4,3723000,747840,20.1
152,152,PAWD,CM3,3723000,751000,20.2
153,153,PASY,ERA,1534080,23855,1.6
154,154,PASY,CCSM4,3723000,56915,1.5
155,155,PASY,CM3,3723000,57120,1.5
156,156,PASH,ERA,1534080,48455,3.2
157,157,PASH,CCSM4,3723000,205,0.0
158,158,PASH,CM3,3723000,116265,3.1
159,159,PASI,ERA,1534080,223455,14.6
160,160,PASI,CCSM4,3723000,535005,14.4
161,161,PASI,CM3,3723000,539015,14.5
162,162,PAGY,ERA,1534080,402320,26.2
163,163,PAGY,CCSM4,3723000,978455,26.3
164,164,PAGY,CM3,3723000,984370,26.4
165,165,PASW,ERA,1534080,320130,20.9
166,166,PASW,CCSM4,3723000,5725,0.2
167,167,PASW,CM3,3723000,10120,0.3
168,168,PADT,ERA,1534080,157320,10.3
169,169,PADT,CCSM4,3723000,393510,10.6
170,170,PADT,CM3,3723000,306395,8.2
171,171,PASV,ERA,1534080,533710,34.8
172,172,PASV,CCSM4,3723000,1260,0.0
173,173,PASV,CM3,3723000,845,0.0
174,174,PATK,ERA,1534080,439165,28.6
175,175,PATK,CCSM4,3723000,677910,18.2
176,176,PATK,CM3,3723000,833605,22.4
177,177,PATA,ERA,1534080,413015,26.9
178,178,PATA,CCSM4,3723000,10,0.0
179,179,PATA,CM3,3723000,12445,0.3
180,180,PATL,ERA,1534080,479675,31.3
181,181,PATL,CCSM4,3723000,460,0.0
182,182,PATL,CM3,3723000,5,0.0
183,183,PATC,ERA,1534080,63655,4.1
184,184,PATC,CCSM4,3723000,45390,1.2
185,185,PATC,CM3,3723000,148215,4.0
186,186,PAUN,ERA,1534080,65165,4.2
187,187,PAUN,CCSM4,3723000,5465,0.1
188,188,PAUN,CM3,3723000,155220,4.2
189,189,PABR,ERA,1534080,27095,1.8
190,190,PABR,CCSM4,3723000,2265,0.1
191,191,PABR,CM3,3723000,65885,1.8
192,192,PAVD,ERA,1534080,550540,35.9
193,193,PAVD,CCSM4,3723000,1342160,36.1
194,194,PAVD,CM3,3723000,1354525,36.4
195,195,PAWG,ERA,1534080,162350,10.6
196,196,PAWG,CCSM4,3723000,378915,10.2
197,197,PAWG,CM3,3723000,383015,10.3
198,198,PAYA,ERA,1534080,498365,32.5
199,199,PAYA,CCSM4,3723000,35,0.0
200,200,PAYA,CM3,3723000,1246605,33.5
